First name,Last name,Email,Description,Merchant code,Amount,From Currency,To Currency,Rate,Date
Niyah,Singleton,niyah.singleton@mailinator.com,CARD SPEND,5462,68.5819483,GBP,GBP,1,12/05/2020 08:22
Amanda,Burn,amanda.burn@mailinator.com,CARD SPEND,5013,41.8411403,GBP,GGM,47.0892,02/01/2020 03:07
Andreea,Suarez,andreea.suarez@mailinator.com,CARD SPEND,5411,1.5103011,GGM,GBP,47.7478,23/05/2020 09:20
Alayna,Sparks,alayna.sparks@mailinator.com,CARD SPEND,5311,13.7788121,GBP,GGM,47.0892,22/03/2020 13:28
Ebrahim,Pickett,ebrahim.pickett@mailinator.com,SELL GOLD,,0.9928468,GGM,GBP,47.7494,17/02/2020 19:17
Riley,Hayden,riley.hayden@mailinator.com,SELL GOLD,,1.7438654,GGM,GBP,47.7534,18/05/2020 14:40
Kaelan,Rodriquez,kaelan.rodriquez@mailinator.com,BUY GOLD,,75.5180979,GBP,GGM,47.7555,29/07/2020 17:32
Jibril,Whitfield,jibril.whitfield@mailinator.com,SELL GOLD,,2.0498016,GGM,GBP,47.7515,03/08/2020 03:43
Alysia,Lozano,alysia.lozano@mailinator.com,CARD SPEND,5013,0.9724244,GGM,GBP,47.7478,27/08/2020 16:52
Clement,Paine,clement.paine@mailinator.com,CARD SPEND,5441,30.7364075,GBP,GGM,47.7543,20/06/2020 18:32
Eryn,Ortega,eryn.ortega@mailinator.com,CARD SPEND,5072,2.020296,GGM,GBP,47.7478,13/05/2020 05:29
Paris,Peterson,paris.peterson@mailinator.com,CARD SPEND,5411,54.7273756,GBP,GGM,48.4343,22/02/2020 23:20
Arjan,Grey,arjan.grey@mailinator.com,CARD SPEND,5411,0.3585687,GGM,GBP,48.4343,08/05/2020 12:42
Hadiqa,Rose,hadiqa.rose@mailinator.com,BUY GOLD,,41.650079,GBP,GGM,47.0892,28/03/2020 11:01
Areeb,Schofield,areeb.schofield@mailinator.com,CARD SPEND,5411,1.0346566,GGM,GBP,48.5679,28/06/2020 09:49
Mathew,Harrison,mathew.harrison@mailinator.com,CARD SPEND,5411,1.9023043,GGM,GBP,48.5679,06/06/2020 03:51
Zak,Yu,zak.yu@mailinator.com,SELL GOLD,,0.2253387,GGM,GBP,47.7071,28/03/2020 10:19
Iram,Pate,iram.pate@mailinator.com,CARD SPEND,5013,52.5443559,GBP,GGM,47.7071,20/05/2020 17:19
Marius,Parra,marius.parra@mailinator.com,CARD SPEND,5013,53.2028582,GBP,GGM,47.7071,08/01/2020 21:56
Elijah,Howells,elijah.howells@mailinator.com,BUY GOLD,,27.7942682,GBP,GBP,1,18/08/2020 11:12
Teodor,Sheridan,teodor.sheridan@mailinator.com,CARD SPEND,5045,94.6466579,GBP,GGM,47.7543,30/04/2020 21:14
Teri,Torres,teri.torres@mailinator.com,CARD SPEND,5311,0.3047562,GGM,GBP,47.7494,28/04/2020 13:25
Nina,Elliott,nina.elliott@mailinator.com,CARD SPEND,5462,53.9072716,GBP,GGM,47.7143,08/03/2020 06:01
Danish,Schneider,danish.schneider@mailinator.com,SELL GOLD,,0.8867019,GGM,GBP,47.7534,23/01/2020 07:29
Asif,Bailey,asif.bailey@mailinator.com,BUY GOLD,,91.2176855,GBP,GGM,47.7534,14/05/2020 05:20
Lyla-Rose,Briggs,lyla-rose.briggs@mailinator.com,CARD SPEND,5072,16.0367066,GBP,GGM,47.7534,17/03/2020 03:34
Tony,Watson,tony.watson@mailinator.com,CARD SPEND,5441,1.8190602,GGM,GBP,47.7515,29/05/2020 07:00
Zhane,Booth,zhane.booth@mailinator.com,BUY GOLD,,19.2967767,GBP,GGM,48.5679,05/08/2020 16:03
Aditi,Duncan,aditi.duncan@mailinator.com,SELL GOLD,,1.9619842,GGM,GBP,47.7478,24/07/2020 12:04
Yahya,Frey,yahya.frey@mailinator.com,CARD SPEND,5411,93.2793493,GBP,GGM,47.7497,07/01/2020 07:45
Kashif,Davies,kashif.davies@mailinator.com,CARD SPEND,5072,82.3439491,GBP,GGM,47.7543,02/08/2020 07:28
Rita,Mcintosh,rita.mcintosh@mailinator.com,CARD SPEND,5072,1.0264837,GGM,GBP,47.7515,14/04/2020 12:31
Bogdan,Cartwright,bogdan.cartwright@mailinator.com,BUY GOLD,,31.847337,GBP,GGM,47.7494,11/05/2020 07:00
Leonidas,Mcdermott,leonidas.mcdermott@mailinator.com,SELL GOLD,,1.8838974,GGM,GBP,47.0892,15/04/2020 06:47
Leia,Friedman,leia.friedman@mailinator.com,CARD SPEND,5462,51.9139064,GBP,GGM,47.7071,28/01/2020 04:42
Ruby-Mae,Buck,ruby-mae.buck@mailinator.com,CARD SPEND,5462,0.0505685,GGM,GBP,47.7937,08/01/2020 08:25
Catherine,Weston,catherine.weston@mailinator.com,BUY GOLD,,61.2752722,GBP,GGM,47.7497,02/06/2020 04:08
Deborah,Bryan,deborah.bryan@mailinator.com,BUY GOLD,,8.4764253,GBP,GBP,1,15/04/2020 15:41
Melody,Workman,melody.workman@mailinator.com,SELL GOLD,,1.3137449,GGM,GBP,48.0231,27/03/2020 01:56
Daria,Shea,daria.shea@mailinator.com,CARD SPEND,5013,1.5495912,GGM,GBP,48.4343,27/03/2020 16:23
Clara,Jenkins,clara.jenkins@mailinator.com,CARD SPEND,5045,1.1391697,GGM,GBP,48.4343,14/08/2020 00:35
Xander,Espinoza,xander.espinoza@mailinator.com,BUY GOLD,,47.8465911,GBP,GGM,47.7937,15/07/2020 05:14
Billie,Cherry,billie.cherry@mailinator.com,CARD SPEND,5441,1.2720727,GGM,GBP,47.0892,29/03/2020 13:31
Tudor,Hanson,tudor.hanson@mailinator.com,SELL GOLD,,1.8880968,GGM,GBP,48.4343,03/04/2020 10:22
India,Frye,india.frye@mailinator.com,CARD SPEND,5311,79.0020351,GBP,GGM,47.7497,05/07/2020 00:12
Roberta,Bentley,roberta.bentley@mailinator.com,BUY GOLD,,2.612153,GBP,GGM,47.7937,23/04/2020 05:33
Rahul,Maldonado,rahul.maldonado@mailinator.com,CARD SPEND,5013,1.3004489,GGM,GBP,47.7478,11/03/2020 21:12
Oskar,Kendall,oskar.kendall@mailinator.com,BUY GOLD,,23.3874432,GBP,GGM,48.0231,29/07/2020 02:16
Zidane,Carver,zidane.carver@mailinator.com,CARD SPEND,5311,0.1904638,GGM,GBP,47.7555,26/05/2020 18:27
Archie,Massey,archie.massey@mailinator.com,CARD SPEND,5411,73.0338469,GBP,GGM,47.0892,04/06/2020 02:58
Sia,Hayward,sia.hayward@mailinator.com,CARD SPEND,5441,1.5594037,GGM,GBP,47.7071,15/05/2020 00:31
Rayyan,Hodge,rayyan.hodge@mailinator.com,CARD SPEND,5441,54.173694,GBP,GGM,47.7937,10/06/2020 09:42
Sheldon,Smart,sheldon.smart@mailinator.com,SELL GOLD,,1.01108,GGM,GBP,47.7478,25/08/2020 07:37
Kofi,Luna,kofi.luna@mailinator.com,CARD SPEND,5072,1.5043543,GGM,GBP,47.7478,27/06/2020 09:52
